aten_op,input_shapes,calls,self_gpu_time_us,self_gpu_pct,avg_us_per_call
aten::all,"[[512, 135]]",1,20.2,0.00,20.21
aten::all,"[[512, 129]]",1,20.2,0.00,20.20
aten::all,"[[512, 132]]",1,20.1,0.00,20.09
aten::all,"[[512, 130]]",1,20.0,0.00,20.05
aten::all,"[[512, 127]]",1,19.8,0.00,19.76
aten::all,"[[512, 131]]",1,19.7,0.00,19.72
aten::all,"[[512, 133]]",1,19.6,0.00,19.64
aten::all,"[[512, 125]]",1,19.6,0.00,19.64
aten::all,"[[512, 126]]",1,19.6,0.00,19.56
aten::all,"[[512, 128]]",1,19.5,0.00,19.52
aten::all,"[[512, 124]]",1,19.5,0.00,19.52
aten::all,"[[512, 122]]",1,19.2,0.00,19.16
aten::all,"[[512, 123]]",1,19.0,0.00,18.96
aten::all,"[[512, 121]]",1,18.9,0.00,18.92
aten::all,"[[512, 119]]",1,18.6,0.00,18.60
aten::all,"[[512, 111]]",1,18.5,0.00,18.48
aten::all,"[[512, 120]]",1,18.4,0.00,18.40
aten::all,"[[512, 117]]",1,18.4,0.00,18.36
aten::all,"[[512, 109]]",1,18.3,0.00,18.32
aten::all,"[[512, 115]]",1,18.3,0.00,18.32
aten::all,"[[512, 116]]",1,18.3,0.00,18.28
aten::all,"[[512, 114]]",1,18.2,0.00,18.24
aten::all,"[[512, 118]]",1,18.2,0.00,18.24
aten::all,"[[512, 112]]",1,18.2,0.00,18.24
aten::all,"[[512, 110]]",1,18.2,0.00,18.16
aten::all,"[[512, 113]]",1,18.2,0.00,18.16
aten::all,"[[512, 107]]",1,17.7,0.00,17.72
aten::all,"[[512, 103]]",1,17.6,0.00,17.64
aten::all,"[[512, 106]]",1,17.6,0.00,17.64
aten::all,"[[512, 101]]",1,17.6,0.00,17.56
aten::all,"[[512, 102]]",1,17.4,0.00,17.44
aten::all,"[[512, 104]]",1,17.4,0.00,17.44
aten::all,"[[512, 85]]",1,17.4,0.00,17.36
aten::all,"[[512, 97]]",1,17.4,0.00,17.36
aten::all,"[[512, 99]]",1,17.2,0.00,17.24
aten::all,"[[512, 100]]",1,17.2,0.00,17.16
aten::all,"[[512, 98]]",1,17.2,0.00,17.16
aten::all,"[[512, 92]]",1,16.9,0.00,16.88
aten::all,"[[512, 96]]",1,16.9,0.00,16.88
aten::all,"[[512, 95]]",1,16.8,0.00,16.80
aten::all,"[[512, 93]]",1,16.8,0.00,16.76
aten::all,"[[512, 105]]",1,16.8,0.00,16.76
aten::all,"[[512, 91]]",1,16.7,0.00,16.72
aten::all,"[[512, 94]]",1,16.6,0.00,16.56
aten::all,"[[512, 90]]",1,16.4,0.00,16.44
aten::all,"[[512, 88]]",1,16.3,0.00,16.28
aten::all,"[[512, 67]]",1,16.2,0.00,16.24
aten::all,"[[512, 108]]",1,16.2,0.00,16.20
aten::all,"[[512, 84]]",1,16.1,0.00,16.08
aten::all,"[[512, 89]]",1,16.1,0.00,16.08
aten::all,"[[512, 83]]",1,16.0,0.00,15.96
aten::all,"[[512, 86]]",1,15.9,0.00,15.91
aten::all,"[[512, 77]]",1,15.8,0.00,15.84
aten::all,"[[512, 82]]",1,15.8,0.00,15.84
aten::all,"[[512, 79]]",1,15.7,0.00,15.67
aten::all,"[[512, 87]]",1,15.6,0.00,15.63
aten::all,"[[512, 80]]",1,15.6,0.00,15.55
aten::all,"[[512, 75]]",1,15.5,0.00,15.51
aten::all,"[[512, 78]]",1,15.4,0.00,15.39
aten::all,"[[512, 81]]",1,15.4,0.00,15.39
aten::all,"[[512, 61]]",1,15.2,0.00,15.19
aten::all,"[[512, 62]]",1,15.2,0.00,15.15
aten::all,"[[512, 73]]",1,15.1,0.00,15.07
aten::all,"[[512, 54]]",1,14.9,0.00,14.91
aten::all,"[[512, 76]]",1,14.9,0.00,14.87
aten::all,"[[512, 65]]",1,14.7,0.00,14.71
aten::all,"[[512, 57]]",1,14.7,0.00,14.67
aten::all,"[[512, 71]]",1,14.7,0.00,14.67
aten::all,"[[512, 69]]",1,14.5,0.00,14.51
aten::all,"[[512, 74]]",1,14.5,0.00,14.51
aten::all,"[[512, 72]]",1,14.5,0.00,14.47
aten::all,"[[512, 70]]",1,14.4,0.00,14.35
aten::all,"[[512, 44]]",1,14.3,0.00,14.31
aten::all,"[[512, 68]]",1,14.2,0.00,14.15
aten::all,"[[512, 64]]",1,14.1,0.00,14.07
aten::all,"[[512, 66]]",1,14.0,0.00,14.03
aten::all,"[[512, 63]]",1,13.8,0.00,13.75
aten::all,"[[512, 60]]",1,13.7,0.00,13.71
aten::all,"[[512, 58]]",1,13.7,0.00,13.67
aten::all,"[[512, 59]]",1,13.6,0.00,13.63
aten::all,"[[512, 49]]",1,13.3,0.00,13.35
aten::all,"[[512, 56]]",1,13.2,0.00,13.23
aten::all,"[[512, 34]]",1,13.2,0.00,13.23
aten::all,"[[512, 52]]",1,13.2,0.00,13.23
aten::all,"[[512, 39]]",1,13.1,0.00,13.07
aten::all,"[[512, 53]]",1,12.9,0.00,12.95
aten::all,"[[512, 50]]",1,12.9,0.00,12.91
aten::all,"[[512, 45]]",1,12.9,0.00,12.87
aten::all,"[[512, 55]]",1,12.9,0.00,12.87
aten::all,"[[512, 35]]",1,12.8,0.00,12.83
aten::all,"[[512, 48]]",1,12.8,0.00,12.79
aten::all,"[[512, 40]]",1,12.7,0.00,12.75
aten::all,"[[512, 47]]",1,12.6,0.00,12.63
aten::all,"[[512, 41]]",1,12.6,0.00,12.59
aten::all,"[[512, 37]]",1,12.5,0.00,12.55
aten::all,"[[512, 46]]",1,12.5,0.00,12.51
aten::all,"[[512, 29]]",1,12.4,0.00,12.43
aten::all,"[[512, 43]]",1,12.3,0.00,12.35
